Date,AveragePrice,Total Volume,4046,4225,Total Bags,Small Bags,type,region
2015-07-26,1.11,106757.1,648.75,91949.05,13192.69,13061.53,conventional,Albany
2015-07-19,1.26,96617.0,1042.1,82049.4,11287.48,11103.49,conventional,Albany
2015-07-12,1.05,124055.31,672.25,94693.52,24431.9,24290.08,conventional,Albany
2015-07-05,1.35,109252.12,869.45,72600.55,29898.96,29663.19,conventional,Albany
2015-06-28,1.37,89534.81,664.23,57545.79,26662.08,26311.76,conventional,Albany
2015-06-21,1.27,104849.39,804.01,76688.55,21875.65,21662.0,conventional,Albany
2015-06-14,1.32,89631.3,850.58,55400.94,29002.59,28343.14,conventional,Albany
2015-06-07,1.07,122743.06,656.71,99220.82,22775.21,22314.99,conventional,Albany
2015-05-31,1.23,95123.62,922.37,70469.69,23681.01,23222.49,conventional,Albany
2015-05-24,1.19,101470.91,680.27,71376.81,29355.13,28761.81,conventional,Albany
2015-05-17,1.43,109857.47,1150.55,81955.16,26657.44,26285.43,conventional,Albany
2015-05-10,1.26,120427.91,1420.43,102000.52,16821.3,16535.55,conventional,Albany
2015-05-03,1.2,59197.67,919.87,45490.05,12570.51,12201.95,conventional,Albany
2015-04-26,1.22,49585.46,875.65,35841.75,12778.44,12076.83,conventional,Albany
2015-04-19,1.19,49064.73,774.15,33941.51,14301.92,13602.97,conventional,Albany
2015-04-12,1.13,48364.29,864.27,30374.15,17104.37,16438.49,conventional,Albany
2015-04-05,1.16,47362.13,961.77,35577.66,10728.94,9869.16,conventional,Albany
2015-03-29,1.02,67799.08,1402.28,58623.22,7684.08,7208.49,conventional,Albany
2015-03-22,1.12,46346.85,2141.83,34313.56,9749.66,9252.6,conventional,Albany
2015-03-15,1.11,43045.79,2128.26,30447.17,10370.69,9989.59,conventional,Albany
2015-03-08,1.07,40507.36,795.68,30370.64,9181.99,8827.55,conventional,Albany
2015-03-01,0.99,55595.74,629.46,45633.34,9151.45,8986.06,conventional,Albany
2015-02-22,1.07,45675.05,1088.38,35056.13,9379.54,9000.16,conventional,Albany
2015-02-15,1.06,41567.62,986.66,30045.51,10313.03,9979.87,conventional,Albany
2015-02-08,0.99,51253.97,1357.37,39111.81,10621.54,10113.1,conventional,Albany
2015-02-01,0.99,70873.6,1353.9,60017.2,9323.18,9170.82,conventional,Albany
2015-01-25,1.06,45147.5,941.38,33196.16,10845.82,10103.35,conventional,Albany
2015-01-18,1.17,44511.28,914.14,31540.32,11921.05,11651.09,conventional,Albany
2015-01-11,1.24,41195.08,1002.85,31640.34,8424.77,8036.04,conventional,Albany
2015-01-04,1.22,40873.28,2819.5,28287.42,9716.46,9186.93,conventional,Albany
2015-12-27,0.97,62909.69,30482.25,2971.94,23561.1,23520.19,conventional,Boise
2015-12-20,1.03,57504.05,25628.22,2546.09,21935.9,21900.35,conventional,Boise
2015-12-13,0.99,58461.05,27148.61,2985.73,21868.27,21842.87,conventional,Boise
2015-12-06,0.71,95295.34,35590.98,12526.5,43091.6,42734.53,conventional,Boise
2015-11-29,1.06,49069.13,24189.98,2789.67,16057.99,15860.63,conventional,Boise
2015-11-22,1.09,52875.58,25408.86,3255.97,17547.95,17530.67,conventional,Boise
2015-11-15,1.01,68648.22,24424.72,12085.72,25635.41,25200.25,conventional,Boise
2015-11-08,1.11,55847.79,31910.27,4651.88,12999.91,12777.83,conventional,Boise
2015-11-01,1.14,53585.51,30434.99,4359.52,12362.73,12331.82,conventional,Boise
2015-10-25,1.11,59874.45,29521.58,10089.82,13711.48,13660.98,conventional,Boise
2015-10-18,1.16,54191.14,29614.23,9069.38,8921.26,8918.0,conventional,Boise
2015-10-11,0.94,80904.19,26114.19,33415.88,13769.64,13543.47,conventional,Boise
2015-10-04,1.12,59496.33,35154.43,10821.85,5968.42,5462.15,conventional,Boise
2015-09-27,0.99,64187.8,47007.35,5754.04,7763.11,7596.64,conventional,Boise
2015-09-20,1.03,73952.9,34826.9,21592.13,10893.8,10601.02,conventional,Boise
2015-09-13,1.08,64208.84,45738.83,4393.9,7482.65,7482.65,conventional,Boise
2015-09-06,1.16,64464.61,44134.65,5402.17,6936.04,6934.43,conventional,Boise
2015-08-30,1.19,60099.83,40926.77,5809.92,5440.56,5440.56,conventional,Boise
2015-08-23,1.05,70773.76,44059.22,14861.33,7420.09,7420.09,conventional,Boise
2015-08-16,1.12,64001.61,46189.28,5258.21,6096.91,6090.51,conventional,Boise
2015-08-09,1.1,61286.98,44739.54,5034.0,7582.25,7568.92,conventional,Boise
2015-08-02,1.07,67763.91,51151.27,5140.89,6036.39,5987.5,conventional,Boise
2015-07-26,1.07,67826.07,50978.38,4856.27,6511.85,6358.04,conventional,Boise
2015-07-19,1.09,63958.04,45921.6,5300.3,7170.97,6354.45,conventional,Boise
2015-07-12,1.05,74677.72,51828.75,5802.65,9571.92,8335.04,conventional,Boise
2015-07-05,1.15,85044.45,61949.73,8022.13,6637.61,6557.06,conventional,Boise
2015-06-28,1.04,75280.41,59111.33,6573.26,5621.07,5619.44,conventional,Boise
2015-06-21,1.06,81397.07,52790.21,15444.74,7286.27,7021.56,conventional,Boise
2015-06-14,0.99,87607.71,58791.25,17880.43,7800.04,7800.04,conventional,Boise
2015-06-07,1.12,80751.29,61245.49,7237.55,5612.56,5603.8,conventional,Boise
2015-05-31,0.97,76689.38,57373.57,7421.36,7866.15,7860.31,conventional,Boise
2015-05-24,1.03,83209.77,54825.95,14839.33,7507.26,7469.51,conventional,Boise
2015-05-17,0.96,77987.53,61319.66,7393.99,6354.01,6345.82,conventional,Boise
2015-05-10,1.06,95788.53,62505.3,15896.54,9495.53,9453.06,conventional,Boise
2015-05-03,1.0,85466.99,66880.12,7942.34,6354.81,6349.93,conventional,Boise
2015-04-26,0.96,88111.17,69544.59,7985.48,7179.45,7174.6,conventional,Boise
2015-04-19,0.99,89694.96,56843.62,21630.9,7960.22,7953.8,conventional,Boise
2015-04-12,1.19,66246.3,44469.15,8506.36,5747.78,5747.78,conventional,Boise
2015-04-05,1.09,76704.46,57339.81,9060.49,6513.78,6510.61,conventional,Boise
2015-03-29,0.98,74543.98,59532.94,7119.52,4789.54,4789.54,conventional,Boise
2015-03-22,1.17,61419.11,44227.33,6589.77,3311.77,3311.77,conventional,Boise
2015-03-15,1.0,65918.28,51472.29,7018.29,4445.9,4445.9,conventional,Boise
2015-03-08,1.14,65350.24,45879.84,7206.22,4860.43,4860.43,conventional,Boise
2015-03-01,1.06,75046.37,40578.0,23738.56,7237.98,6478.75,conventional,Boise
2015-02-22,0.99,76836.1,50872.0,16374.74,7467.27,7235.2,conventional,Boise
2015-02-15,1.14,61221.98,41547.87,7840.31,5340.86,3647.52,conventional,Boise
2015-02-08,1.07,69970.75,54229.34,9647.24,3047.17,1373.42,conventional,Boise
2015-02-01,0.91,113578.24,67496.3,36532.33,6644.84,4867.26,conventional,Boise
2015-01-25,1.03,66069.21,51922.06,7555.95,4530.04,2009.53,conventional,Boise
2015-01-18,1.08,62870.49,50354.95,6342.37,3915.94,1119.18,conventional,Boise
2015-01-11,1.18,57355.52,38112.34,10997.54,4923.75,3295.11,conventional,Boise
2015-01-04,1.01,80034.32,44562.12,24964.23,7755.62,6064.3,conventional,Boise
2015-12-27,1.35,96233.08,1367.81,39542.83,55236.68,55236.68,conventional,BuffaloRochester
2015-12-20,1.37,90867.51,1164.92,38430.71,51165.21,51165.21,conventional,BuffaloRochester
2015-12-13,1.35,98473.23,1421.12,40783.22,56202.44,56202.44,conventional,BuffaloRochester
2015-12-06,1.23,108457.82,1737.71,58197.34,48355.65,48355.65,conventional,BuffaloRochester
2015-11-29,1.39,79973.14,1514.69,35682.71,42662.25,42662.25,conventional,BuffaloRochester
2015-11-22,1.4,90242.31,1711.77,38780.66,49642.35,49642.35,conventional,BuffaloRochester
2015-11-15,1.36,99703.72,1803.78,41457.12,56335.34,55593.12,conventional,BuffaloRochester
2015-11-08,1.3,111038.95,1288.83,49507.25,60187.87,58885.65,conventional,BuffaloRochester
2015-11-01,1.23,118541.11,2181.17,61874.92,54298.62,52956.4,conventional,BuffaloRochester
2015-10-25,1.36,99554.55,1545.57,36645.91,61283.43,59381.21,conventional,BuffaloRochester
2015-10-18,1.29,106083.75,1536.35,40701.65,63787.47,62627.47,conventional,BuffaloRochester
2015-10-11,1.3,109153.84,2170.49,50862.0,56025.17,54829.61,conventional,BuffaloRochester
2015-10-04,1.33,98900.48,3020.03,38353.35,57425.67,56141.23,conventional,BuffaloRochester
2015-09-27,1.31,90745.72,1908.16,60292.79,28438.3,27767.19,conventional,BuffaloRochester
2015-09-20,1.54,60624.47,1445.25,39831.66,19258.95,18437.84,conventional,BuffaloRochester
2015-09-13,1.59,73043.2,1572.71,48468.73,22867.43,22421.87,conventional,BuffaloRochester
2015-09-06,1.56,76139.58,1471.69,49388.48,25106.09,25092.76,conventional,BuffaloRochester
2015-08-30,1.38,83731.42,1406.11,61600.62,20483.02,20483.02,conventional,BuffaloRochester
2015-08-23,1.49,68953.29,1287.09,43655.31,23840.42,23840.42,conventional,BuffaloRochester
2015-08-16,1.5,69798.09,1230.78,45937.58,22371.73,22371.73,conventional,BuffaloRochester
2015-08-09,1.47,81830.13,1139.74,56289.28,24051.92,24051.92,conventional,BuffaloRochester
2015-08-02,1.47,78162.92,1447.81,44620.7,31622.86,31622.86,conventional,BuffaloRochester
2015-07-26,1.39,91825.07,1679.28,45615.48,43788.54,43788.54,conventional,BuffaloRochester
2015-06-21,1.5,108655.36,1254.83,47845.57,54130.44,54130.44,conventional,BuffaloRochester
2015-03-15,1.47,103413.11,3500.48,45688.61,54157.6,54046.49,conventional,BuffaloRochester
2015-03-08,1.35,125724.96,1072.46,61973.56,62576.63,62216.63,conventional,BuffaloRochester
2015-02-22,1.41,109546.92,1709.23,45393.96,62312.01,61765.34,conventional,BuffaloRochester
2015-02-15,1.44,100207.14,1520.76,43271.55,55357.07,55232.63,conventional,BuffaloRochester
2015-02-08,1.36,132760.1,1822.41,66261.92,64513.81,63918.25,conventional,BuffaloRochester
2015-01-25,1.5,114052.94,1321.19,54007.48,58649.74,57909.74,conventional,BuffaloRochester
2015-01-18,1.52,107040.29,1625.26,61859.85,43421.89,43419.67,conventional,BuffaloRochester
2015-01-11,1.54,106221.32,1642.25,50985.2,53514.26,53514.26,conventional,BuffaloRochester
2015-01-04,1.4,116253.44,3267.97,55693.04,57182.88,57182.88,conventional,BuffaloRochester
2015-12-27,0.96,156698.24,33070.27,62956.24,37630.04,35130.42,conventional,Charlotte
2015-12-20,0.98,139917.89,29500.04,55520.58,35054.76,33273.25,conventional,Charlotte
2015-12-13,0.95,157146.19,31727.46,62544.19,39031.59,35793.08,conventional,Charlotte
2015-12-06,0.99,156114.08,34117.36,63074.74,30439.26,28181.92,conventional,Charlotte
2015-11-29,0.95,138858.86,31911.11,53470.54,30791.41,27376.3,conventional,Charlotte
2015-11-22,1.0,133618.33,30028.69,53644.97,25723.09,22228.47,conventional,Charlotte
2015-11-15,1.01,169281.16,28543.88,80244.55,23632.22,21132.1,conventional,Charlotte
2015-11-08,1.03,164322.04,30860.74,54456.01,29723.04,28076.04,conventional,Charlotte
2015-11-01,1.11,171793.87,33371.6,47079.68,37373.73,32848.04,conventional,Charlotte
2015-10-25,1.27,140920.61,23093.86,38356.83,34587.41,30219.23,conventional,Charlotte
2015-10-18,1.26,156565.98,22805.02,54518.85,34534.79,31176.68,conventional,Charlotte
2015-10-11,1.14,167396.56,22941.59,45669.33,39795.83,33103.01,conventional,Charlotte
2015-10-04,1.22,146737.74,23648.94,44671.1,38050.77,30388.81,conventional,Charlotte
2015-09-27,1.09,168780.22,24397.92,54210.03,31620.63,27053.27,conventional,Charlotte
2015-09-20,1.2,161443.98,25922.66,46906.06,47353.43,38940.45,conventional,Charlotte
2015-09-13,1.19,171077.53,30122.92,41616.87,62868.31,56910.24,conventional,Charlotte
2015-09-06,1.01,227728.43,35126.74,62187.49,66041.86,59197.7,conventional,Charlotte
2015-08-30,1.2,179026.88,33511.97,41700.97,65683.65,63371.06,conventional,Charlotte
2015-08-16,1.24,178525.52,32128.6,42068.1,62985.56,60769.22,conventional,Charlotte
2015-08-09,1.21,173059.32,29915.8,43782.95,61746.27,57783.2,conventional,Charlotte
2015-08-02,1.24,179321.9,30200.32,48686.77,60699.91,58627.67,conventional,Charlotte
2015-07-26,1.23,173896.82,30901.1,39607.94,64127.07,62053.65,conventional,Charlotte
2015-07-19,1.19,187575.03,33382.11,49072.16,65605.47,62470.83,conventional,Charlotte
2015-05-31,1.19,194630.86,45688.14,43259.91,61153.08,58990.8,conventional,Charlotte
2015-05-24,1.2,212527.72,43628.72,59207.62,63676.95,59663.25,conventional,Charlotte
2015-05-17,1.21,190799.99,44340.34,46424.29,59786.84,57583.99,conventional,Charlotte
2015-05-10,1.19,192767.09,47626.37,42863.8,63906.65,61759.57,conventional,Charlotte
2015-05-03,1.0,261492.2,50203.31,69446.61,64214.79,58626.28,conventional,Charlotte
2015-04-26,1.2,182141.55,39481.13,44796.9,59902.38,58701.2,conventional,Charlotte
2015-04-19,1.18,180944.22,38330.46,41954.32,64618.32,63182.05,conventional,Charlotte
2015-04-12,1.17,204005.24,48793.38,50390.01,65183.51,61787.29,conventional,Charlotte
2015-04-05,1.19,177919.28,43112.4,40448.49,58148.27,56450.56,conventional,Charlotte
2015-03-29,1.23,178788.49,34498.06,50741.07,52860.94,51856.01,conventional,Charlotte
2015-03-22,1.19,182876.15,41638.46,44726.81,59411.65,56443.98,conventional,Charlotte
2015-03-15,1.19,183944.05,39138.41,48595.62,52470.09,51028.01,conventional,Charlotte
2015-03-08,1.25,159386.69,29980.15,39244.64,53912.29,52537.96,conventional,Charlotte
2015-03-01,1.18,176146.34,45465.24,40006.65,55725.59,52873.84,conventional,Charlotte
2015-02-22,1.08,201741.43,44679.57,48498.63,46972.92,44919.71,conventional,Charlotte
2015-02-15,1.22,156798.51,28227.83,38591.73,49548.44,40419.97,conventional,Charlotte
2015-02-08,1.17,150139.38,31509.41,35566.91,51284.33,41921.3,conventional,Charlotte
2015-02-01,0.98,254009.7,52915.5,71209.89,49070.43,33450.14,conventional,Charlotte
2015-01-25,1.18,167270.13,37383.37,44000.75,54309.81,41623.4,conventional,Charlotte
2015-01-18,1.25,152671.15,26462.87,40475.81,47055.08,33996.73,conventional,Charlotte
2015-01-11,1.26,159942.68,31586.35,38118.77,49435.79,38822.26,conventional,Charlotte
2015-01-04,1.19,166006.29,29419.03,47220.75,50797.56,44329.03,conventional,Charlotte
2015-12-27,0.87,162993.77,2633.37,100444.22,50369.3,14050.64,conventional,CincinnatiDayton
2015-12-20,0.85,175425.57,2732.05,108930.75,56245.76,12118.45,conventional,CincinnatiDayton
2015-12-13,0.79,207386.27,3802.6,123544.78,75464.86,15835.2,conventional,CincinnatiDayton
2015-12-06,0.83,207513.04,2914.81,129978.67,59144.0,13539.21,conventional,CincinnatiDayton
2015-11-29,0.88,141356.34,2399.32,94093.55,38977.9,12785.15,conventional,CincinnatiDayton
2015-11-22,0.89,174892.99,2565.81,115591.25,47140.21,13804.56,conventional,CincinnatiDayton
2015-11-15,0.88,193723.22,2680.0,129291.79,56845.8,15733.89,conventional,CincinnatiDayton
2015-10-25,1.01,203681.71,2264.65,132625.92,59603.9,12423.07,conventional,CincinnatiDayton
2015-10-18,0.98,186044.56,2297.3,131737.84,43077.8,17414.57,conventional,CincinnatiDayton
2015-09-27,1.08,202012.62,2220.62,138937.95,49128.68,12344.28,conventional,CincinnatiDayton
2015-09-20,1.05,210445.12,3127.8,139042.8,47094.76,12353.22,conventional,CincinnatiDayton
2015-09-13,1.05,216548.9,2195.13,139863.58,56180.0,17271.72,conventional,CincinnatiDayton
2015-07-26,1.03,216611.18,2474.11,139527.28,68917.85,24769.87,conventional,CincinnatiDayton
2015-04-26,1.06,214469.51,8217.17,138764.19,60583.96,21522.31,conventional,CincinnatiDayton
2015-04-12,1.02,188937.83,11176.67,120830.33,55624.64,38219.34,conventional,CincinnatiDayton
2015-04-05,1.06,196168.6,7516.57,135093.59,51050.29,36567.48,conventional,CincinnatiDayton
2015-03-29,0.95,198365.16,3014.53,122178.0,70724.27,46587.15,conventional,CincinnatiDayton
2015-03-22,0.98,212719.94,2968.26,137560.99,48822.51,11317.29,conventional,CincinnatiDayton
2015-03-15,0.94,196008.57,3550.62,131234.14,57836.43,19570.41,conventional,CincinnatiDayton
2015-02-22,0.93,183072.02,4431.56,134258.95,41141.35,18685.14,conventional,CincinnatiDayton
2015-02-15,0.94,169950.37,4399.26,122866.03,39617.86,21356.07,conventional,CincinnatiDayton
2015-02-08,0.93,186617.2,4246.12,140926.77,37258.67,17773.67,conventional,CincinnatiDayton
2015-01-18,0.93,175681.09,3333.29,128858.15,42403.04,24024.17,conventional,CincinnatiDayton
2015-12-27,0.99,107565.04,41808.54,27120.67,23071.78,15032.43,conventional,Columbus
2015-12-20,1.03,117393.22,57557.75,23198.49,20266.48,11760.83,conventional,Columbus
2015-12-13,1.03,124617.07,69742.59,21750.83,20165.81,14642.3,conventional,Columbus
2015-12-06,0.99,137195.59,60376.23,33565.14,18819.11,12451.6,conventional,Columbus
2015-11-29,1.03,97235.6,40352.94,22858.09,17371.46,12106.21,conventional,Columbus
2015-11-22,1.04,115089.62,50334.8,25643.76,18380.41,13855.13,conventional,Columbus
2015-11-15,0.99,117462.94,52474.75,26705.74,23023.6,19594.87,conventional,Columbus
2015-11-08,0.95,152084.79,61494.68,35336.71,25669.5,14899.79,conventional,Columbus
2015-11-01,0.99,135237.01,58162.23,31821.24,21489.11,14668.1,conventional,Columbus
2015-10-25,1.04,119210.27,59745.47,23351.18,17089.46,11461.37,conventional,Columbus
2015-10-18,0.98,137773.84,62590.79,33116.75,23459.71,18601.8,conventional,Columbus
2015-10-11,0.9,145305.65,57480.41,39207.76,23892.68,16946.85,conventional,Columbus
2015-10-04,0.93,134326.53,53606.35,38396.06,19254.83,14952.36,conventional,Columbus
2015-09-27,1.02,137298.77,66587.59,33743.19,18440.24,10970.85,conventional,Columbus
2015-09-20,1.0,165068.86,86031.9,31599.19,21237.4,12029.73,conventional,Columbus
2015-09-13,1.02,169025.14,86159.05,31464.67,24698.19,17099.64,conventional,Columbus
2015-09-06,1.04,144563.15,61052.61,40880.96,21787.18,16533.98,conventional,Columbus
2015-08-30,1.03,147230.76,64531.04,32172.79,24775.19,16928.02,conventional,Columbus
2015-08-23,1.08,130920.97,64597.94,29728.3,20871.64,14961.58,conventional,Columbus
2015-08-16,1.03,155881.73,63291.37,36257.41,23949.07,15230.44,conventional,Columbus
2015-08-09,1.0,167387.9,64121.12,52440.39,29968.97,20668.0,conventional,Columbus
2015-08-02,1.05,148597.91,77973.44,30063.76,23215.97,17997.33,conventional,Columbus
2015-07-26,1.02,159846.2,91758.41,25540.09,28990.45,23981.05,conventional,Columbus
2015-07-19,1.05,159137.17,75080.98,33397.18,26449.59,21845.65,conventional,Columbus
2015-07-12,1.04,143992.91,69964.42,32449.21,25544.6,22605.91,conventional,Columbus
2015-07-05,0.98,173370.68,79063.5,39343.65,30288.91,24909.93,conventional,Columbus
2015-06-28,0.94,159970.54,72752.84,38877.79,35543.34,29338.02,conventional,Columbus
2015-06-21,0.99,164161.25,67311.23,40382.51,31938.32,24969.38,conventional,Columbus
2015-06-14,1.01,171353.59,83138.56,33535.09,34656.36,27204.22,conventional,Columbus
2015-06-07,1.03,187983.88,92110.97,33225.37,33480.24,23654.01,conventional,Columbus
2015-05-31,1.1,143985.96,80729.03,21813.84,27507.96,21434.49,conventional,Columbus
2015-05-24,1.01,171879.57,85510.9,37314.24,34792.89,22680.26,conventional,Columbus
2015-05-17,1.0,180511.78,97341.26,38624.07,21611.56,15997.43,conventional,Columbus
2015-05-10,1.1,162802.65,97879.64,27581.34,27215.37,23689.19,conventional,Columbus
2015-05-03,0.99,176737.77,79998.58,53621.15,27235.65,16302.79,conventional,Columbus
2015-04-26,1.02,161438.17,87214.58,28964.04,28635.3,22384.1,conventional,Columbus
2015-04-19,1.0,172913.44,80303.92,40370.03,25870.22,20819.2,conventional,Columbus
2015-04-12,1.07,129397.39,66513.95,28065.91,24861.81,23837.01,conventional,Columbus
2015-04-05,1.09,126109.82,67298.39,30313.37,18571.52,17853.07,conventional,Columbus
2015-03-29,0.96,139065.31,72473.25,25151.42,32728.88,31416.0,conventional,Columbus
2015-03-22,0.94,182625.49,101143.03,40165.62,16321.19,9158.76,conventional,Columbus
2015-03-15,1.01,149884.1,90582.35,27040.2,22629.45,18487.57,conventional,Columbus
2015-03-08,0.95,141281.56,56323.87,37382.46,36170.41,29553.3,conventional,Columbus
2015-03-01,1.03,136795.35,55610.59,36034.55,19375.08,13297.29,conventional,Columbus
2015-02-22,1.09,114280.87,56131.64,26134.29,21411.43,18266.69,conventional,Columbus
2015-02-15,1.05,106663.68,52221.93,20939.99,24561.91,22104.1,conventional,Columbus
2015-02-08,0.96,128078.27,76792.99,23238.8,20393.63,17859.26,conventional,Columbus
2015-02-01,0.87,216653.06,111171.46,59739.98,23945.98,16360.12,conventional,Columbus
2015-01-25,1.08,116995.68,53201.66,32775.08,23196.35,21117.47,conventional,Columbus
2015-01-18,1.02,116450.21,55532.76,26458.99,27417.51,24386.64,conventional,Columbus
2015-01-11,0.97,125742.48,64726.71,34844.49,18981.23,16400.27,conventional,Columbus
2015-01-04,0.89,158638.04,80298.77,51860.47,18869.56,16518.15,conventional,Columbus
2015-12-27,1.08,255499.7,83097.26,50545.78,62067.48,48936.21,conventional,Detroit
2015-12-20,1.1,250436.24,110507.5,42663.06,51805.83,40496.17,conventional,Detroit
2015-12-13,1.05,275587.85,132206.07,38088.87,57504.44,48318.35,conventional,Detroit
2015-12-06,0.98,339797.19,92957.56,78805.63,54242.79,30612.06,conventional,Detroit
2015-11-29,1.11,228427.08,84236.03,38244.11,42282.8,31628.56,conventional,Detroit
2015-11-22,1.09,270529.34,95526.76,55945.23,55653.33,47388.76,conventional,Detroit
2015-11-08,1.03,343645.67,103367.05,72647.24,53703.17,30614.89,conventional,Detroit
2015-11-01,1.04,340746.59,112432.15,67252.29,56532.65,35176.99,conventional,Detroit
2015-10-25,1.17,251336.74,84318.99,49927.69,42762.15,30131.74,conventional,Detroit
2015-10-18,0.97,358143.26,117479.44,97788.02,70322.58,63143.78,conventional,Detroit
2015-10-04,1.1,286400.89,81617.68,60336.35,54175.41,40779.28,conventional,Detroit
2015-09-27,1.17,257472.31,88573.56,43702.48,46419.67,33816.62,conventional,Detroit
2015-09-20,1.0,373545.23,129945.11,71335.62,60966.23,38180.88,conventional,Detroit
2015-09-06,1.09,336982.39,143927.73,51351.12,61933.21,49676.97,conventional,Detroit
2015-08-23,1.11,267968.5,114208.75,36663.35,55181.73,45741.01,conventional,Detroit
2015-08-16,0.97,400251.59,113822.13,86783.96,74575.51,53326.63,conventional,Detroit
2015-08-09,1.07,341289.98,136799.68,56896.42,67447.96,54938.34,conventional,Detroit
2015-07-19,1.04,370830.93,125844.19,66223.96,73481.26,61402.16,conventional,Detroit
2015-03-22,0.97,455372.43,138397.72,109057.9,63171.07,44419.39,conventional,Detroit
2015-03-15,1.13,254974.87,107980.24,31613.46,67078.32,62158.56,conventional,Detroit
2015-03-01,0.97,397899.56,97605.68,101935.17,69072.83,50732.68,conventional,Detroit
2015-02-08,1.11,268195.87,129910.26,35996.84,61772.96,57777.05,conventional,Detroit
2015-01-11,1.08,332165.05,108378.69,90104.73,56696.63,48639.13,conventional,Detroit
2015-01-04,1.01,369694.27,121634.27,117865.11,56132.13,46679.86,conventional,Detroit
2015-12-27,1.13,147713.85,2992.62,101109.84,37856.64,30738.09,conventional,GrandRapids
2015-12-20,1.13,126262.26,2630.11,85259.91,35160.73,30547.62,conventional,GrandRapids
2015-12-13,1.24,117645.69,3809.88,69582.68,40989.06,38257.02,conventional,GrandRapids
2015-11-29,1.12,120552.43,3726.77,82760.11,30728.58,27835.71,conventional,GrandRapids
2015-11-22,1.11,140981.22,3734.97,94794.75,36725.69,33606.78,conventional,GrandRapids
2015-11-15,1.2,129448.75,3490.77,74695.44,48756.23,47301.23,conventional,GrandRapids
2015-10-25,1.14,134921.44,3899.73,86434.9,35155.6,30487.72,conventional,GrandRapids
2015-10-18,0.94,184806.99,3821.47,118521.96,45134.39,40257.54,conventional,GrandRapids
2015-10-11,0.97,198769.54,3638.99,106363.84,39487.65,21799.3,conventional,GrandRapids
2015-10-04,0.99,160322.48,3241.7,102316.58,36660.84,29446.94,conventional,GrandRapids
2015-09-27,1.15,137849.61,2977.77,87274.97,34572.59,28888.74,conventional,GrandRapids
2015-09-06,1.09,170309.3,3673.53,111964.57,48654.83,45108.48,conventional,GrandRapids
2015-08-23,1.28,128681.94,4847.16,72826.86,45548.13,40204.96,conventional,GrandRapids
2015-08-09,1.08,186733.16,4807.41,120579.39,52956.51,49559.83,conventional,GrandRapids
2015-08-02,1.05,184067.49,4122.95,109853.88,59731.09,55048.69,conventional,GrandRapids
2015-07-19,1.05,215736.47,2680.7,122122.69,61454.75,52697.22,conventional,GrandRapids
2015-07-05,1.16,202842.97,2709.26,109357.57,55789.84,44032.97,conventional,GrandRapids
2015-06-07,1.14,212599.11,6926.42,134230.11,61035.0,55432.55,conventional,GrandRapids
2015-05-31,1.31,167907.51,7097.0,90411.8,67038.66,64208.38,conventional,GrandRapids
2015-05-10,1.36,159642.82,7383.85,84947.73,63493.67,59129.49,conventional,GrandRapids
2015-04-05,1.22,157721.54,4487.21,92044.84,55701.88,50462.56,conventional,GrandRapids
2015-03-15,1.35,123895.07,1621.03,69452.53,48607.19,45347.61,conventional,GrandRapids
2015-02-22,1.31,129295.86,1593.4,69934.93,52872.75,48858.06,conventional,GrandRapids
